"layer","value","count_126_2041","count_370_2041","count_585_2041","count_126_2071","count_370_2071","count_585_2071"
"GFDL-ESM4",0,18829091.0161726,18422892.4917935,18422392.8068335,18897026.7801128,18760519.5229083,18898507.0112443
"GFDL-ESM4",1,1619810.08229019,2026008.6066693,2026508.29162933,1551874.31835005,1688381.57555447,1550394.08721847
"IPSL-CM6A-LR",0,16977421.1230562,17331830.3815785,18495766.9228386,17603541.7792166,19485589.7799027,20002921.1485162
"IPSL-CM6A-LR",1,3471479.97540658,3117070.71688433,1953134.17562426,2845359.31924624,963311.31856009,445098.656267105
"MPI-ESM1-2-HR",0,17832125.4021799,18035767.5583885,17766741.1117856,17676352.0383918,18404499.12264,20025281.1948524
"MPI-ESM1-2-HR",1,2616775.69628293,2413133.54007431,2682159.98667719,2772549.06007106,2044401.97582283,423619.903610406
"MRI-ESM2-0",0,17476193.1312795,17481245.5965003,18422392.8068335,17803226.6701168,17600869.6625553,18346266.1454236
"MRI-ESM2-0",1,2972707.96718335,2967655.50196255,2026508.29162933,2645674.42834603,2847566.83156964,2089547.3140862
"UKESM1-0-LL",0,19030023.408223,19424389.4954237,19505655.8957974,19319868.0650355,20115921.8219762,20248644.6501083
"UKESM1-0-LL",1,1418142.70842358,1004649.12587807,926429.605885627,1116087.428213,291282.962322362,145439.125864869
